"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Louisiana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-LA-99.A",1786,113,1085,2031,1902,260,282,267,102,106,49,38,54,48,78,14,19,21,28,13
"Louisiana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-LA-99.A",1664,1751,1853,1872,1639,1612,1968,2038,1755,3175,4658,2992,4891,5183,4165,4805,4551,4356,3160,3422
"Louisiana : natural gas","thousand megawatthours","ELEC.GEN.NG-LA-99.A",40373,47901,45434,46170,44168,41933,43915,45344,44003,51344,54322,58564,52510,56121,66211,66479,59001,61782,69523,71848
"Louisiana : nuclear","thousand megawatthours","ELEC.GEN.NUC-LA-99.A",17336,17305,16126,17080,15676,16735,17078,15371,16782,18639,16615,15659,16954,17311,15301,17152,15410,17153,13981,16950
"Louisiana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-LA-99.A",732,891,892,1099,811,713,827,1064,1236,1109,1044,680,1045,1090,999,1103,906,1180,1366,1390
"Louisiana : other renewables","thousand megawatthours","ELEC.GEN.AOR-LA-99.A",2704,2810,3078,2966,2887,2962,2980,2710,2364,2468,2443,2430,2787,2780,2705,2876,2741,2609,2250,2276
"Louisiana : wind","thousand megawatthours","ELEC.GEN.WND-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Louisiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,2,82
"Louisiana : geothermal","thousand megawatthours","ELEC.GEN.GEO-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Louisiana : biomass",,"ELEC.GEN.BIO-LA-99.A",,,,,,,,,,,,,,,,,,,,
"Louisiana : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-LA-99.A",2641,2749,3014,2890,2806,2881,2898,2639,2297,2393,2371,2366,2704,2686,2608,2789,2651,2528,2165,2105
"Louisiana : other biomass","thousand megawatthours","ELEC.GEN.WAS-LA-99.A",64,62,65,77,80,81,82,71,67,74,71,64,82,94,96,87,88,79,83,89
"Louisiana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Louisiana : all solar",,"ELEC.GEN.TSN-LA-99.A",,,,,,,,,,,,,,,,,,,,
"Louisiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,2,82
"Oklahoma",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Oklahoma : all fuels (utility-scale)",,"ELEC.GEN.ALL-OK-99.A",,,,,,,,,,,,,,,,,,,,
"Oklahoma : coal","thousand megawatthours","ELEC.GEN.COW-OK-99.A",34616,35965,36676,33801,36309,35032,34438,36315,34059,31475,34479,29302,29999,29906,24867,19158,17368,14907,7826,5938
"Oklahoma : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OK-99.A",175,50,161,68,70,64,160,23,9,14,16,11,10,12,11,17,16,18,18,27
"Oklahoma : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OK-99.A","--","--","--","--","--","--",0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Oklahoma : natural gas","thousand megawatthours","ELEC.GEN.NG-OK-99.A",17944,21049,21823,23286,28590,32981,33144,33774,34631,33942,32837,39024,30056,26641,34286,36529,30451,41613,44188,43777
"Oklahoma : nuclear","thousand megawatthours","ELEC.GEN.NUC-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oklahoma : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OK-99.A",2345,1988,1798,2977,2630,624,3066,3811,3553,2809,1507,1146,2178,1428,2664,2573,2036,2035,3903,3963
"Oklahoma : other renewables","thousand megawatthours","ELEC.GEN.AOR-OK-99.A",231,239,322,823,1137,2010,2129,2551,2929,4160,5919,8521,11506,12275,14369,20437,23930,27729,29378,29993
"Oklahoma : wind","thousand megawatthours","ELEC.GEN.WND-OK-99.A","--","--",54,573,848,1712,1849,2358,2698,3808,5605,8158,11162,11937,14031,20069,23599,27338,29008,29572
"Oklahoma : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,5,33,62,60,67
"Oklahoma : geothermal","thousand megawatthours","ELEC.GEN.GEO-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oklahoma : biomass",,"ELEC.GEN.BIO-OK-99.A",,,,,,,,,,,,,,,,,,,,
"Oklahoma : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-OK-99.A",231,239,267,250,289,297,276,23,68,255,227,269,218,247,245,243,231,252,236,275
"Oklahoma : other biomass","thousand megawatthours","ELEC.GEN.WAS-OK-99.A","--","--",0,0,0,0,4,170,163,97,87,94,126,92,91,119,68,77,75,79
"Oklahoma : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OK-99.A",-128,-178,-206,-234,-154,-116,-166,-168,-117,-153,-153,-117,-78,-106,-72,-87,-118,-135,-104,-118
"Oklahoma : all solar",,"ELEC.GEN.TSN-OK-99.A",,,,,,,,,,,,,,,,,,,,
"Oklahoma : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,5,33,62,60,67
"Texas",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Texas : all fuels (utility-scale)",,"ELEC.GEN.ALL-TX-99.A",,,,,,,,,,,,,,,,,,,,
"Texas : coal","thousand megawatthours","ELEC.GEN.COW-TX-99.A",135100,141847,146990,148885,148358,146391,147279,147132,139107,150173,157897,138088,149404,148174,121554,121231,134648,111723,91817,78825
"Texas : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-TX-99.A",1890,332,1646,306,201,189,178,117,137,121,137,91,92,102,108,82,74,61,54,51
"Texas : petroleum coke","thousand megawatthours","ELEC.GEN.PC-TX-99.A",914,1289,869,1422,1382,1600,1131,917,1268,587,840,1393,859,176,134,114,90,68,100,95
"Texas : natural gas","thousand megawatthours","ELEC.GEN.NG-TX-99.A",190111,196433,184911,188755,197665,197870,199531,193247,189066,186882,200500,213901,203798,204721,237731,225976,204512,239713,255630,247928
"Texas : nuclear","thousand megawatthours","ELEC.GEN.NUC-TX-99.A",38163,35618,33437,40435,38232,41264,40955,40727,41498,41335,39648,38441,38315,39287,39355,42079,38581,41186,41298,41439
"Texas : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-TX-99.A",1200,1123,897,1301,1333,662,1644,1039,1029,1262,563,584,480,386,956,1342,1062,1126,1475,1809
"Texas : other renewables","thousand megawatthours","ELEC.GEN.AOR-TX-99.A",2181,3975,3966,4247,5336,7818,10288,17639,21104,27705,32183,34017,37760,42096,46674,59944,70827,80496,89447,102267
"Texas : wind","thousand megawatthours","ELEC.GEN.WND-TX-99.A",1188,2656,2570,3138,4237,6671,9006,16225,20026,26251,30548,32214,35874,40005,44833,57531,67061,75700,83620,92989
"Texas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TX-99.A",-0,"--","--","--","--","--","--","--","--",8,29,118,163,282,401,731,2189,3206,4365,7907
"Texas : geothermal","thousand megawatthours","ELEC.GEN.GEO-TX-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Texas : biomass",,"ELEC.GEN.BIO-TX-99.A",,,,,,,,,,,,,,,,,,,,
"Texas : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-TX-99.A",898,1073,1036,857,852,892,914,976,649,900,928,984,993,1075,657,948,908,1005,1042,963
"Texas : other biomass","thousand megawatthours","ELEC.GEN.WAS-TX-99.A",96,246,360,252,247,256,367,438,429,545,678,700,730,733,784,735,669,585,419,408
"Texas : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-TX-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Texas : all solar",,"ELEC.GEN.TSN-TX-99.A",,,,,,,,,,,,,,,,,,,,
"Texas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TX-99.A",-0,"--","--","--","--","--","--","--","--",8,29,118,163,282,401,731,2189,3206,4365,7907
"Mountain",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Arizona",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Arizona : all fuels (utility-scale)",,"ELEC.GEN.ALL-AZ-99.A",,,,,,,,,,,,,,,,,,,,
"Arizona : coal","thousand megawatthours","ELEC.GEN.COW-AZ-99.A",40061,38227,38091,39811,40144,40443,41275,43840,39707,43644,43702,40116,43492,42665,36167,30403,31396,30745,23218,13747
"Arizona : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AZ-99.A",314,57,49,41,43,73,49,52,63,66,53,42,43,57,48,52,57,50,64,40
"Arizona : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AZ-99.A",0,"--","--","--","--","--",0,0,0,0,0,"--","--","--","--","--","--","--","--","--"
"Arizona : natural gas","thousand megawatthours","ELEC.GEN.NG-AZ-99.A",12872,17293,18933,28265,28893,32869,38469,38822,34739,29676,23253,30295,29685,27242,33657,34183,29591,37168,46084,50911
"Arizona : nuclear","thousand megawatthours","ELEC.GEN.NUC-AZ-99.A",28724,30862,28581,28113,25807,24012,26782,29250,30662,31200,31278,31934,31431,32321,32526,32377,32340,31097,31920,31552
"Arizona : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AZ-99.A",7624,7427,7075,6973,6410,6793,6598,7286,6427,6622,9174,6717,5915,6118,6536,7168,6832,6982,6204,6461
"Arizona : other renewables","thousand megawatthours","ELEC.GEN.AOR-AZ-99.A",39,54,45,48,74,54,42,114,202,319,529,1698,2733,3840,4135,4522,5683,5890,6063,6858
"Arizona : wind","thousand megawatthours","ELEC.GEN.WND-AZ-99.A","--","--","--","--","--","--","--","--",30,135,256,532,450,468,452,542,570,530,554,635
"Arizona : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AZ-99.A",0,0,0,4,14,13,9,15,14,16,83,955,2111,3142,3457,3766,4942,5140,5278,5998
"Arizona : geothermal","thousand megawatthours","ELEC.GEN.GEO-AZ-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arizona : biomass",,"ELEC.GEN.BIO-AZ-99.A",,,,,,,,,,,,,,,,,,,,
"Arizona : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-AZ-99.A","--","--","--","--",12,8,"--",76,137,140,144,157,102,170,177,176,133,182,200,195
"Arizona : other biomass","thousand megawatthours","ELEC.GEN.WAS-AZ-99.A",39,53,45,44,48,32,33,23,22,28,47,54,69,61,50,38,39,37,31,31
"Arizona : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AZ-99.A",276,124,284,-53,107,149,125,95,169,209,121,79,24,14,73,59,-46,-5,2,62
"Arizona : all solar",,"ELEC.GEN.TSN-AZ-99.A",,,,,,,,,,,,,,,,,,,,
"Arizona : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AZ-99.A",0,0,0,4,14,13,9,15,14,16,83,955,2111,3142,3457,3766,4942,5140,5278,5998
"Colorado",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Colorado : all fuels (utility-scale)",,"ELEC.GEN.ALL-CO-99.A",,,,,,,,,,,,,,,,,,,,
"Colorado : coal","thousand megawatthours","ELEC.GEN.COW-CO-99.A",35951,35388,36116,35848,35570,36269,35936,34828,31636,34559,33955,34521,33703,32545,31541,29949,29242,26382,25321,19478
"Colorado : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CO-99.A",176,23,34,14,17,21,28,19,13,17,22,11,10,10,7,7,7,12,8,10
"Colorado : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado : natural gas","thousand megawatthours","ELEC.GEN.NG-CO-99.A",9392,9028,9226,10747,11923,11919,15014,13487,13840,11062,10186,10524,10709,11954,11644,12679,12532,16398,17097,18436
"Colorado : nuclear","thousand megawatthours","ELEC.GEN.NUC-CO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CO-99.A",1495,1209,1262,1195,1415,1791,1730,2039,1886,1578,2083,1497,1213,1770,1620,1903,1897,1825,1811,1959
"Colorado : other renewables","thousand megawatthours","ELEC.GEN.AOR-CO-99.A",113,169,179,255,811,896,1325,3284,3246,3555,5367,6192,7536,7747,7807,10122,10435,10972,12233,14408
"Colorado : wind","thousand megawatthours","ELEC.GEN.WND-CO-99.A",49,139,147,220,776,866,1292,3221,3164,3452,5200,5969,7204,7369,7475,9421,9315,9745,10852,12727
"Colorado : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CO-99.A","--","--","--","--","--","--",2,18,26,42,105,165,248,253,251,538,954,1062,1218,1514
"Colorado : geothermal","thousand megawatthours","ELEC.GEN.GEO-CO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado : biomass",,"ELEC.GEN.BIO-CO-99.A",,,,,,,,,,,,,,,,,,,,
"Colorado : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-CO-99.A","--","--",0,0,0,0,0,0,0,2,0,0,3,47,1,86,91,89,89,92
"Colorado : other biomass","thousand megawatthours","ELEC.GEN.WAS-CO-99.A",64,30,31,35,34,31,31,45,56,58,62,58,81,79,80,76,75,76,74,74
"Colorado : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CO-99.A",-251,-220,-204,-192,-122,-201,-168,-249,-109,-121,-243,-244,-280,-225,-279,-294,-327,-263,-192,-151
"Colorado : all solar",,"ELEC.GEN.TSN-CO-99.A",,,,,,,,,,,,,,,,,,,,
"Colorado : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CO-99.A","--","--","--","--","--","--",2,18,26,42,105,165,248,253,251,538,954,1062,1218,1514
"Idaho",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Idaho : all fuels (utility-scale)",,"ELEC.GEN.ALL-ID-99.A",,,,,,,,,,,,,,,,,,,,
"Idaho : coal","thousand megawatthours","ELEC.GEN.COW-ID-99.A",72,91,90,99,95,82,84,90,83,88,83,77,92,78,79,29,24,20,21,20
"Idaho : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ID-99.A",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idaho : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho : natural gas","thousand megawatthours","ELEC.GEN.NG-ID-99.A",1405,329,1375,1704,1597,1298,1657,1700,1644,1689,1111,1898,3392,2553,3804,3321,3079,3279,4267,4009
"Idaho : nuclear","thousand megawatthours","ELEC.GEN.NUC-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ID-99.A",7223,8769,8354,8462,8542,11242,9022,9363,10434,9154,13405,10940,8473,9002,8757,9033,10670,11024,10333,11355
"Idaho : other renewables","thousand megawatthours","ELEC.GEN.AOR-ID-99.A",533,508,541,560,560,690,653,748,867,1014,1892,2515,3152,3477,2947,3212,3554,3785,3721,3898
"Idaho : wind","thousand megawatthours","ELEC.GEN.WND-ID-99.A","--","--","--","--","--",170,172,207,313,441,1307,1891,2460,2806,2270,2578,2545,2655,2551,2742
"Idaho : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",30,459,556,557,564
"Idaho : geothermal","thousand megawatthours","ELEC.GEN.GEO-ID-99.A","--","--","--","--","--","--","--",86,76,72,63,75,40,79,76,72,84,83,96,88
"Idaho : biomass",,"ELEC.GEN.BIO-ID-99.A",,,,,,,,,,,,,,,,,,,,
"Idaho : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-ID-99.A",533,508,541,560,560,520,481,455,478,478,474,460,454,417,426,413,349,394,404,406
"Idaho : other biomass","thousand megawatthours","ELEC.GEN.WAS-ID-99.A","--","--","--","--","--","--","--","--",0,24,48,90,198,175,175,118,117,96,113,99
"Idaho : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho : all solar",,"ELEC.GEN.TSN-ID-99.A",,,,,,,,,,,,,,,,,,,,
"Idaho : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",30,459,556,557,564
"Montana",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Montana : all fuels (utility-scale)",,"ELEC.GEN.ALL-MT-99.A",,,,,,,,,,,,,,,,,,,,
"Montana : coal","thousand megawatthours","ELEC.GEN.COW-MT-99.A",17036,15338,17049,17380,17823,17085,18357,18332,15611,18601,15056,13987,14880,15579,16013,14269,13864,13360,14101,8541
"Montana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MT-99.A",1,14,15,22,17,22,16,16,13,13,18,13,15,26,14,17,13,17,16,10
"Montana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MT-99.A",497,456,388,417,398,397,463,404,478,395,443,454,448,403,483,443,445,429,449,447
"Montana : natural gas","thousand megawatthours","ELEC.GEN.NG-MT-99.A",20,17,25,28,27,68,106,66,78,57,418,464,614,515,599,476,417,476,507,391
"Montana : nuclear","thousand megawatthours","ELEC.GEN.NUC-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MT-99.A",6613,9567,8702,8856,9587,10130,9364,10000,9506,9415,12596,11283,9638,11483,9888,10083,10946,11405,10005,11051
"Montana : other renewables","thousand megawatthours","ELEC.GEN.AOR-MT-99.A",65,63,71,62,72,530,607,704,916,1027,1265,1262,1760,1987,1986,2160,2190,2209,2423,3046
"Montana : wind","thousand megawatthours","ELEC.GEN.WND-MT-99.A","--","--","--","--","--",436,496,593,821,930,1265,1262,1755,1974,1965,2140,2155,2153,2373,2992
"Montana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",14,34,29,33
"Montana : geothermal","thousand megawatthours","ELEC.GEN.GEO-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana : biomass",,"ELEC.GEN.BIO-MT-99.A",,,,,,,,,,,,,,,,,,,,
"Montana : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-MT-99.A",65,63,71,62,72,94,111,111,95,97,"--","--",5,13,21,20,21,21,20,21
"Montana : other biomass","thousand megawatthours","ELEC.GEN.WAS-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana : all solar",,"ELEC.GEN.TSN-MT-99.A",,,,,,,,,,,,,,,,,,,,
"Montana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",14,34,29,33
"Nevada",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Nevada : all fuels (utility-scale)",,"ELEC.GEN.ALL-NV-99.A",,,,,,,,,,,,,,,,,,,,
"Nevada : coal","thousand megawatthours","ELEC.GEN.COW-NV-99.A",17737,16413,17086,18257,18384,7254,7091,7812,7540,6997,5407,4079,5255,6548,2657,2167,1866,2485,2735,1953
"Nevada : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NV-99.A",912,25,17,96,21,17,11,14,16,11,14,19,19,15,16,11,9,10,12,6
"Nevada : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada : natural gas","thousand megawatthours","ELEC.GEN.NG-NV-99.A",11514,12211,13253,16381,18836,21184,22263,23972,25878,23688,21841,25647,24767,22961,29000,28922,26626,26689,25775,26788
"Nevada : nuclear","thousand megawatthours","ELEC.GEN.NUC-NV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NV-99.A",2514,2268,1757,1615,1702,2058,2003,1751,2461,2157,2191,2440,2682,2389,2264,1789,1813,1881,2242,1942
"Nevada : other renewables","thousand megawatthours","ELEC.GEN.AOR-NV-99.A",1200,1127,1066,1298,1263,1344,1297,1539,1808,2287,2437,2969,3690,4067,5103,6877,7857,8546,9103,9792
"Nevada : wind","thousand megawatthours","ELEC.GEN.WND-NV-99.A","--","--","--","--","--","--","--","--","--","--","--",129,251,300,310,344,361,312,329,323
"Nevada : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NV-99.A","--","--","--","--","--","--",44,156,174,217,291,473,745,1014,1657,3124,4146,4719,4811,5266
"Nevada : geothermal","thousand megawatthours","ELEC.GEN.GEO-NV-99.A",1200,1127,1066,1298,1263,1344,1253,1383,1633,2070,2146,2347,2670,2729,3111,3353,3292,3462,3909,4142
"Nevada : biomass",,"ELEC.GEN.BIO-NV-99.A",,,,,,,,,,,,,,,,,,,,
"Nevada : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NV-99.A","--","--","--","--","--","--","--","--",1,0,0,0,0,0,"--","--","--","--","--","--"
"Nevada : other biomass","thousand megawatthours","ELEC.GEN.WAS-NV-99.A","--","--","--","--","--","--","--","--","--","--","--",19,24,25,26,55,58,53,54,60
"Nevada : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada : all solar",,"ELEC.GEN.TSN-NV-99.A",,,,,,,,,,,,,,,,,,,,
"Nevada : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NV-99.A","--","--","--","--","--","--",44,156,174,217,291,473,745,1014,1657,3124,4146,4719,4811,5266
"New Mexico",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"New Mexico : all fuels (utility-scale)",,"ELEC.GEN.ALL-NM-99.A",,,,,,,,,,,,,,,,,,,,
"New Mexico : coal","thousand megawatthours","ELEC.GEN.COW-NM-99.A",28402,26903,28813,29264,29947,29859,27604,27014,29117,25618,27141,24994,24145,20356,20440,18365,18414,13402,14692,12788
"New Mexico : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NM-99.A",66,33,51,31,37,41,44,53,45,50,38,46,58,63,63,52,41,21,184,175
"New Mexico : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : natural gas","thousand megawatthours","ELEC.GEN.NG-NM-99.A",4887,3442,3519,2993,4187,5890,6660,7966,8661,8512,8566,8799,8975,8976,9365,9958,9132,11628,11803,12277
"New Mexico : nuclear","thousand megawatthours","ELEC.GEN.NUC-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NM-99.A",237,265,171,139,165,198,268,312,271,217,195,223,92,98,99,148,193,150,158,181
"New Mexico : other renewables","thousand megawatthours","ELEC.GEN.AOR-NM-99.A",19,19,183,513,799,1277,1409,1662,1580,1855,2242,2574,2600,2813,2734,4389,5818,7474,8339,8965
"New Mexico : wind","thousand megawatthours","ELEC.GEN.WND-NM-99.A","--","--",183,513,795,1255,1393,1643,1547,1832,2104,2226,2193,2275,2090,3605,4595,6092,6892,7190
"New Mexico : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NM-99.A","--","--","--","--","--","--","--","--","--",9,128,334,388,515,615,752,1193,1349,1366,1699
"New Mexico : geothermal","thousand megawatthours","ELEC.GEN.GEO-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--",0,9,10,14,13,13,58,53
"New Mexico : biomass",,"ELEC.GEN.BIO-NM-99.A",,,,,,,,,,,,,,,,,,,,
"New Mexico : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : other biomass","thousand megawatthours","ELEC.GEN.WAS-NM-99.A",19,19,0,0,5,22,16,19,34,14,9,14,19,14,20,18,18,21,23,22
"New Mexico : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : all solar",,"ELEC.GEN.TSN-NM-99.A",,,,,,,,,,,,,,,,,,,,
"New Mexico : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NM-99.A","--","--","--","--","--","--","--","--","--",9,128,334,388,515,615,752,1193,1349,1366,1699
"Utah",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Utah : all fuels (utility-scale)",,"ELEC.GEN.ALL-UT-99.A",,,,,,,,,,,,,,,,,,,,
"Utah : coal","thousand megawatthours","ELEC.GEN.COW-UT-99.A",33679,34488,35979,36618,35970,36856,37171,38020,35526,34057,33138,30799,34285,33377,31656,25939,26390,25912,25241,22806
"Utah : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-UT-99.A",58,54,33,33,41,62,39,44,36,50,54,40,26,24,20,32,38,37,40,40
"Utah : petroleum coke","thousand megawatthours","ELEC.GEN.PC-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah : natural gas","thousand megawatthours","ELEC.GEN.NG-UT-99.A",1446,1380,1383,910,1178,3389,7424,7366,6444,6455,5256,6580,6606,8376,8218,8691,5871,8724,9369,9425
"Utah : nuclear","thousand megawatthours","ELEC.GEN.NUC-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-UT-99.A",508,458,421,450,784,747,539,668,835,696,1230,748,505,633,769,760,1294,927,875,972
"Utah : other renewables","thousand megawatthours","ELEC.GEN.AOR-UT-99.A",158,224,204,199,189,205,195,302,487,781,961,1100,932,1256,1172,2445,3628,3543,3386,3730
