"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Vermont : nuclear","thousand megawatthours","ELEC.GEN.NUC-VT-99.A",4171,3963,4444,3858,4072,5107,4704,4895,5361,4782,4907,4989,4846,5061,"--","--","--","--","--","--"
"Vermont : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-VT-99.A",884,1115,1154,1187,1211,1519,647,1493,1486,1347,1425,1151,1286,1175,1139,1078,1280,1268,1337,1369
"Vermont : other renewables","thousand megawatthours","ELEC.GEN.AOR-VT-99.A",383,366,405,404,422,450,464,425,429,482,433,465,745,788,838,828,852,906,951,997
"Vermont : wind","thousand megawatthours","ELEC.GEN.WND-VT-99.A",12,10,11,11,11,11,11,10,12,14,33,107,236,311,325,291,305,373,377,384
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-99.A","--","--","--","--","--","--","--","--","--","--",2,5,17,24,48,59,99,107,147,189
"Vermont : geothermal","thousand megawatthours","ELEC.GEN.GEO-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : biomass",,"ELEC.GEN.BIO-VT-99.A",,,,,,,,,,,,,,,,,,,,
"Vermont : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-VT-99.A",370,356,394,393,410,439,453,415,393,443,372,328,466,429,446,462,436,414,360,356
"Vermont : other biomass","thousand megawatthours","ELEC.GEN.WAS-VT-99.A","--","--","--","--","--","--","--",0,24,25,25,26,26,23,19,16,12,12,66,69
"Vermont : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : all solar",,"ELEC.GEN.TSN-VT-99.A",,,,,,,,,,,,,,,,,,,,
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-99.A","--","--","--","--","--","--","--","--","--","--",2,5,17,24,48,59,99,107,147,189
"Middle Atlantic",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"New Jersey",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"New Jersey : all fuels (utility-scale)",,"ELEC.GEN.ALL-NJ-99.A",,,,,,,,,,,,,,,,,,,,
"New Jersey : coal","thousand megawatthours","ELEC.GEN.COW-NJ-99.A",9319,9605,9790,10322,11625,10862,10211,9028,5100,6418,4155,1897,2022,2519,1759,1315,1216,1193,1042,917
"New Jersey : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NJ-99.A",1297,731,1542,1425,940,270,453,325,278,235,107,30,107,467,304,81,80,302,71,28
"New Jersey : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NJ-99.A","--","--","--","--","--","--","--","--","--","--",58,40,55,"NM",71,65,76,60,71,43
"New Jersey : natural gas","thousand megawatthours","ELEC.GEN.NG-NJ-99.A",16708,19069,14776,15962,15366,15668,18752,20752,20625,24902,25201,28285,27077,31410,36974,43807,37708,38863,40449,30702
